_date,total_views,unique_views
2024-06-13,257,25
2024-06-14,251,27
2024-06-15,8,3
2024-06-16,58,10
2024-06-17,457,23
2024-06-18,359,35
2024-06-19,336,22
2024-06-20,468,35
2024-06-21,243,21
2024-06-22,62,7
2024-06-23,312,8
2024-06-24,306,34
2024-06-25,742,47
2024-06-26,718,62
2024-06-27,377,46
2024-06-28,156,28
2024-06-29,9,8
2024-06-30,145,13
2024-07-01,176,35
2024-07-02,314,45
2024-07-03,207,35
2024-07-04,121,24
2024-07-05,304,25
2024-07-06,22,7
2024-07-07,85,10
2024-07-08,186,39
2024-07-09,297,28
2024-07-10,289,33
2024-07-11,92,29
2024-07-12,185,25
2024-07-13,27,10
2024-07-14,9,7
2024-07-15,228,30
2024-07-16,140,33
2024-07-17,430,30
2024-07-18,201,28
2024-07-19,183,26
2024-07-20,36,6
2024-07-21,83,10
2024-07-22,120,28
2024-07-23,322,37
2024-07-24,265,33
2024-07-25,158,33
2024-07-26,67,13
2024-07-27,64,8
2024-07-28,49,6
2024-07-29,38,19
2024-07-30,70,22
2024-07-31,190,27
2024-08-01,251,26
2024-08-02,69,20
2024-08-03,61,3
2024-08-04,56,8
2024-08-05,176,22
2024-08-06,165,24
2024-08-07,89,30
2024-08-08,443,30
2024-08-09,159,30
2024-08-10,63,7
2024-08-11,34,9
2024-08-12,193,31
2024-08-13,146,32
2024-08-14,438,39
2024-08-15,175,25
2024-08-16,459,16
2024-08-17,21,7
2024-08-18,65,10
2024-08-19,299,26
2024-08-20,374,28
2024-08-21,216,21
2024-08-22,567,33
2024-08-23,111,25
2024-08-24,35,6
2024-08-25,14,5
